Sales Person,Country,Product,Date,Clean Amount,Boxes Shipped,Performance,Market,Look Up Test
Barr Faughny,Australia,Fruit & Nut Bars,6/30/2022,15421.00,55,High,Other,5931.904553
Andria Kimpton,Australia,50% Dark Bites,6/2/2022,4438.00,227,High,Other,5931.904553
Andria Kimpton,Australia,Drinking Coco,6/28/2022,1603.00,48,High,Other,5916.168076
Marney O'Breen,Australia,Organic Choco Syrup,5/16/2022,273.00,174,Low,Other,5918.623505
Kelci Walkden,Canada,Baker's Choco Chips,5/26/2022,3073.00,302,High,Other,5925.804243
Karlen McCaffrey,India,Almond Choco,7/6/2022,6090.00,149,High,Other,5935.225583
Oby Sorrel,India,99% Dark & Pure,5/27/2022,10255.00,11,High,Other,5935.225583
Wilone O'Kielt,Australia,Caramel Stuffed Bars,4/14/2022,2030.00,11,High,Other,5935.225583
Van Tuxwell,Australia,Organic Choco Syrup,8/10/2022,19453.00,14,High,Other,5935.225583
Camilla Castle,India,50% Dark Bites,7/4/2022,9275.00,411,High,Other,5941.745159
Oby Sorrel,India,Organic Choco Syrup,7/8/2022,6181.00,56,High,Other,5919.151087
Jan Morforth,USA,Peanut Butter Cubes,7/22/2022,9037.00,102,High,Other,5919.151087
Gigi Bohling,USA,Choco Coated Almonds,3/2/2022,12313.00,103,High,Other,5919.151087
Gigi Bohling,UK,Almond Choco,1/10/2022,5642.00,9,High,Other,5919.151087
Jehu Rudeforth,New Zealand,White Choc,3/11/2022,2800.00,241,High,Other,5919.151087
Andria Kimpton,New Zealand,Peanut Butter Cubes,6/20/2022,959.00,265,High,Other,5919.151087
Van Tuxwell,UK,Organic Choco Syrup,8/26/2022,2002.00,214,High,Other,5919.151087
Roddy Speechley,Canada,Milk Bars,7/13/2022,609.00,32,Medium,Other,5919.151087
Camilla Castle,USA,Spicy Special Slims,2/11/2022,1274.00,244,High,Other,5919.151087
Marney O'Breen,USA,Orange Choco,1/27/2022,7595.00,181,High,Other,5919.151087
Van Tuxwell,UK,99% Dark & Pure,1/31/2022,4725.00,137,High,Other,5919.151087
Camilla Castle,USA,White Choc,8/18/2022,9681.00,24,High,Other,5919.151087
Andria Kimpton,USA,Raspberry Choco,6/30/2022,14504.00,21,High,Other,5919.151087
Dotty Strutley,Australia,Fruit & Nut Bars,8/23/2022,280.00,311,Low,Other,5919.151087
Brien Boise,New Zealand,Mint Chip Choco,8/1/2022,63.00,181,Low,Other,5919.151087
Roddy Speechley,New Zealand,After Nines,5/25/2022,8001.00,10,High,Other,5928.596901
Roddy Speechley,Canada,Organic Choco Syrup,1/10/2022,4032.00,82,High,Other,5928.596901
Dennison Crosswaite,Australia,70% Dark Bites,2/7/2022,5859.00,108,High,Other,5928.596901
Karlen McCaffrey,USA,Orange Choco,5/12/2022,11095.00,401,High,Other,5928.596901
Madelene Upcott,Australia,Spicy Special Slims,3/7/2022,7182.00,408,High,Other,5928.713674
Dennison Crosswaite,Australia,85% Dark Bars,4/5/2022,6881.00,420,High,Other,5928.713674
Andria Kimpton,Canada,Caramel Stuffed Bars,1/3/2022,7154.00,348,High,Other,5926.607311
Dennison Crosswaite,UK,Eclairs,3/24/2022,6188.00,270,High,Other,5925.000589
Madelene Upcott,India,Raspberry Choco,7/7/2022,4221.00,9,High,Other,5925.000589
Van Tuxwell,USA,After Nines,7/26/2022,630.00,264,Medium,Other,5925.000589
Wilone O'Kielt,Australia,Organic Choco Syrup,7/7/2022,1743.00,111,High,Other,5925.000589
Karlen McCaffrey,Canada,50% Dark Bites,7/15/2022,2919.00,65,High,Other,5925.000589
Roddy Speechley,New Zealand,Orange Choco,4/1/2022,49.00,97,Low,Other,5932.052867
Beverie Moffet,Australia,Eclairs,6/20/2022,1827.00,6,High,Other,5932.052867
Kelci Walkden,UK,Fruit & Nut Bars,6/29/2022,13006.00,482,High,Other,5932.052867
Marney O'Breen,USA,50% Dark Bites,6/15/2022,1064.00,106,High,Other,5938.987078
Husein Augar,USA,After Nines,4/8/2022,11571.00,180,High,Other,5938.987078
Dennison Crosswaite,Australia,Raspberry Choco,3/14/2022,5740.00,31,High,Other,5938.987078
Andria Kimpton,USA,Fruit & Nut Bars,7/15/2022,1456.00,359,High,Other,5938.987078
Kelci Walkden,India,Eclairs,4/19/2022,5334.00,80,High,Other,5939.323773
Marney O'Breen,USA,99% Dark & Pure,3/28/2022,4151.00,296,High,Other,5939.323773
Brien Boise,Canada,Spicy Special Slims,3/4/2022,8106.00,101,High,Other,5939.323773
Karlen McCaffrey,New Zealand,70% Dark Bites,8/2/2022,126.00,40,Low,Other,5939.323773
Husein Augar,UK,Spicy Special Slims,8/25/2022,4697.00,42,High,Other,5939.323773
Marney O'Breen,USA,Almond Choco,2/25/2022,7798.00,167,High,Other,5939.323773
Kelci Walkden,India,Orange Choco,6/7/2022,9408.00,138,High,Other,5939.323773
Jan Morforth,India,Spicy Special Slims,4/12/2022,1939.00,520,High,Other,5939.323773
Ches Bonnell,India,Spicy Special Slims,7/6/2022,10906.00,94,High,Other,5939.323773
Kelci Walkden,UK,Smooth Sliky Salty,1/19/2022,5929.00,175,High,Other,5939.323773
Madelene Upcott,Australia,Fruit & Nut Bars,1/5/2022,5579.00,92,High,Other,5939.323773
Madelene Upcott,Canada,70% Dark Bites,1/24/2022,10927.00,141,High,Other,5939.323773
Wilone O'Kielt,Australia,Drinking Coco,4/6/2022,623.00,283,Medium,Other,5939.934492
Gunar Cockshoot,Australia,Fruit & Nut Bars,6/15/2022,6013.00,21,High,Other,5939.934492
Gigi Bohling,Canada,Baker's Choco Chips,1/28/2022,1505.00,47,High,Other,5948.961545
Kelci Walkden,India,Caramel Stuffed Bars,3/16/2022,476.00,125,Low,Other,5948.852636
Rafaelita Blaksland,Australia,Drinking Coco,2/21/2022,11550.00,396,High,Other,5948.852636
Kelci Walkden,USA,Manuka Honey Choco,2/16/2022,17318.00,87,High,Other,5948.852636
Jehu Rudeforth,Canada,Spicy Special Slims,1/13/2022,1848.00,27,High,Other,5939.310647
Kelci Walkden,Australia,Eclairs,3/23/2022,7273.00,547,High,Other,5939.310647
Curtice Advani,Canada,Spicy Special Slims,6/16/2022,854.00,118,High,Other,5939.310647
Oby Sorrel,India,Raspberry Choco,4/14/2022,6832.00,46,High,Other,5937.034727
Kelci Walkden,UK,Eclairs,1/25/2022,4606.00,57,High,Other,5937.034727
Jan Morforth,India,Almond Choco,3/11/2022,4466.00,22,High,Other,5937.034727
Dotty Strutley,UK,Almond Choco,7/28/2022,16114.00,96,High,Other,5937.034727
Marney O'Breen,New Zealand,After Nines,3/9/2022,1561.00,44,High,Other,5937.034727
Husein Augar,Australia,Orange Choco,6/28/2022,8897.00,188,High,Other,5937.034727
Marney O'Breen,Australia,Milk Bars,7/28/2022,2464.00,387,High,Other,5937.034727
Kelci Walkden,Canada,99% Dark & Pure,8/15/2022,4830.00,50,High,Other,5931.974957
Kaine Padly,Australia,Manuka Honey Choco,1/12/2022,2765.00,264,High,Other,5937.913271
Beverie Moffet,New Zealand,White Choc,3/24/2022,7126.00,7,High,Other,5937.913271
Van Tuxwell,UK,Milk Bars,7/25/2022,4263.00,90,High,Other,5943.35566
Oby Sorrel,Canada,99% Dark & Pure,8/1/2022,3605.00,403,High,Other,5943.35566
Van Tuxwell,India,Organic Choco Syrup,5/16/2022,19929.00,174,High,Other,5943.35566
Roddy Speechley,India,Smooth Sliky Salty,8/10/2022,5103.00,140,High,Other,5943.35566
Jan Morforth,India,Eclairs,1/5/2022,2541.00,27,High,Other,5943.35566
Ches Bonnell,UK,Smooth Sliky Salty,7/11/2022,5663.00,110,High,Other,5943.35566
Wilone O'Kielt,USA,After Nines,4/25/2022,392.00,30,Low,Other,5943.35566
Gigi Bohling,New Zealand,Fruit & Nut Bars,4/4/2022,10976.00,121,High,Other,5943.35566
Barr Faughny,USA,Raspberry Choco,4/12/2022,9282.00,101,High,Other,5943.35566
Wilone O'Kielt,New Zealand,85% Dark Bars,8/2/2022,1827.00,117,High,Other,5943.35566
Gigi Bohling,New Zealand,Manuka Honey Choco,6/28/2022,8267.00,272,High,Other,5943.35566
Ches Bonnell,Australia,Eclairs,7/5/2022,4116.00,128,High,Other,5943.35566
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,6/7/2022,2093.00,45,High,Other,5943.35566
Brien Boise,New Zealand,Smooth Sliky Salty,1/18/2022,1015.00,27,High,Other,5946.495447
Brien Boise,Australia,Baker's Choco Chips,1/4/2022,12516.00,212,High,Other,5946.495447
Dennison Crosswaite,Australia,99% Dark & Pure,1/31/2022,2758.00,18,High,Other,5946.495447
Kelci Walkden,India,Almond Choco,3/14/2022,3297.00,149,High,Other,5935.18821
Camilla Castle,Australia,70% Dark Bites,4/29/2022,6048.00,477,High,Other,5940.666121
Oby Sorrel,India,Smooth Sliky Salty,2/7/2022,10101.00,108,High,Other,5940.666121
Kaine Padly,UK,Organic Choco Syrup,3/31/2022,2282.00,178,High,Other,5940.480743
Marney O'Breen,India,Caramel Stuffed Bars,3/16/2022,4361.00,81,High,Other,5940.480743
Karlen McCaffrey,UK,Eclairs,1/25/2022,7798.00,196,High,Other,5940.480743
Van Tuxwell,India,Baker's Choco Chips,6/20/2022,3052.00,447,High,Other,5940.480743
Gigi Bohling,UK,After Nines,3/29/2022,8029.00,175,High,Other,5940.480743
Curtice Advani,Australia,Orange Choco,7/12/2022,854.00,136,High,Other,5940.480743
Jehu Rudeforth,Canada,Smooth Sliky Salty,7/11/2022,5460.00,138,High,Other,5940.480743
Karlen McCaffrey,Canada,Smooth Sliky Salty,1/19/2022,3017.00,184,High,Other,5949.280882
Andria Kimpton,USA,85% Dark Bars,4/5/2022,8911.00,82,High,Other,5949.280882
Jehu Rudeforth,Canada,Milk Bars,2/21/2022,7203.00,12,High,Other,5949.280882
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,5/20/2022,13083.00,14,High,Other,5949.280882
Mallorie Waber,Australia,Milk Bars,7/29/2022,2779.00,104,High,Top Local,5949.280882
Barr Faughny,USA,Fruit & Nut Bars,1/28/2022,9058.00,46,High,Other,5949.280882
Marney O'Breen,UK,Caramel Stuffed Bars,7/19/2022,3549.00,112,High,Other,5954.775303
Mallorie Waber,New Zealand,Manuka Honey Choco,4/13/2022,9436.00,11,High,Other,5954.775303
Roddy Speechley,India,Peanut Butter Cubes,2/11/2022,10283.00,21,High,Other,5954.775303
Roddy Speechley,New Zealand,Milk Bars,3/2/2022,5446.00,116,High,Other,5954.775303
Ches Bonnell,Australia,White Choc,3/2/2022,1043.00,202,High,Other,5954.775303
Van Tuxwell,USA,99% Dark & Pure,7/28/2022,12586.00,6,High,Other,5954.775303
Kelci Walkden,India,After Nines,1/7/2022,1687.00,520,High,Other,5963.302691
Brien Boise,UK,White Choc,4/12/2022,5299.00,167,High,Other,5963.302691
Van Tuxwell,Canada,Almond Choco,6/27/2022,3213.00,72,High,Other,5963.302691
Jehu Rudeforth,Australia,50% Dark Bites,1/14/2022,5194.00,418,High,Other,5963.302691
Karlen McCaffrey,UK,Baker's Choco Chips,2/7/2022,4753.00,389,High,Other,5963.302691
Jehu Rudeforth,Australia,Orange Choco,3/23/2022,13706.00,26,High,Other,5964.640609
Marney O'Breen,India,Peanut Butter Cubes,1/10/2022,6489.00,146,High,Other,5964.640609
Oby Sorrel,UK,Choco Coated Almonds,3/17/2022,9324.00,41,High,Other,5951.15392
Gigi Bohling,USA,Spicy Special Slims,1/21/2022,10829.00,54,High,Other,5951.15392
Barr Faughny,Australia,White Choc,7/4/2022,8113.00,370,High,Other,5951.15392
Kaine Padly,Canada,Peanut Butter Cubes,7/4/2022,3269.00,176,High,Other,5951.15392
Dotty Strutley,USA,Manuka Honey Choco,8/10/2022,273.00,210,Low,Other,5947.381065
Dennison Crosswaite,Australia,50% Dark Bites,4/1/2022,7287.00,12,High,Other,5947.381065
Gigi Bohling,India,Raspberry Choco,2/22/2022,2583.00,159,High,Other,5947.381065
Camilla Castle,UK,White Choc,1/3/2022,9982.00,187,High,Other,5945.039073
Karlen McCaffrey,India,Drinking Coco,5/31/2022,4795.00,233,High,Other,5945.039073
Dotty Strutley,UK,99% Dark & Pure,1/3/2022,9310.00,282,High,Other,5945.039073
Husein Augar,New Zealand,Caramel Stuffed Bars,1/27/2022,497.00,475,Low,Other,5945.039073
Barr Faughny,UK,50% Dark Bites,1/28/2022,581.00,65,Medium,Other,5945.039073
Curtice Advani,Australia,Organic Choco Syrup,6/28/2022,3472.00,311,High,Other,5945.039073
Husein Augar,UK,Choco Coated Almonds,3/2/2022,4333.00,43,High,Other,5945.039073
Wilone O'Kielt,Australia,After Nines,5/27/2022,3325.00,26,High,Other,5949.37014
Dennison Crosswaite,USA,Almond Choco,6/30/2022,11718.00,84,High,Other,5949.37014
Barr Faughny,Canada,Peanut Butter Cubes,6/7/2022,2100.00,78,High,Other,5953.974298
Kaine Padly,USA,70% Dark Bites,5/12/2022,4018.00,100,High,Other,5953.974298
Barr Faughny,New Zealand,Raspberry Choco,7/29/2022,6468.00,66,High,Other,5953.974298
Dennison Crosswaite,UK,White Choc,8/3/2022,7238.00,265,High,Other,5953.974298
Barr Faughny,India,Baker's Choco Chips,8/18/2022,6454.00,141,High,Other,5953.974298
Van Tuxwell,New Zealand,Smooth Sliky Salty,6/14/2022,3115.00,42,High,Other,5953.974298
Beverie Moffet,UK,White Choc,6/30/2022,6475.00,76,High,Other,5953.974298
Camilla Castle,New Zealand,Mint Chip Choco,6/13/2022,1162.00,190,High,Other,5953.974298
Ches Bonnell,UK,Orange Choco,4/27/2022,14238.00,54,High,Other,5953.974298
Jan Morforth,Australia,White Choc,7/27/2022,3472.00,32,High,Other,5953.974298
Mallorie Waber,Canada,85% Dark Bars,4/20/2022,1428.00,424,High,Other,5953.974298
Rafaelita Blaksland,India,Spicy Special Slims,1/4/2022,8064.00,134,High,Other,5958.336292
Ches Bonnell,Australia,Mint Chip Choco,2/21/2022,9660.00,92,High,Other,5958.336292
Karlen McCaffrey,Australia,White Choc,1/5/2022,7357.00,48,High,Other,5958.336292
Beverie Moffet,India,Drinking Coco,7/15/2022,6055.00,46,High,Other,5951.819278
Brien Boise,Australia,Choco Coated Almonds,5/25/2022,5124.00,62,High,Other,5949.341005
Karlen McCaffrey,Canada,Eclairs,4/20/2022,3479.00,358,High,Other,5949.341005
Gigi Bohling,USA,99% Dark & Pure,6/2/2022,784.00,249,Medium,Other,5950.799205
Marney O'Breen,UK,Smooth Sliky Salty,5/13/2022,18991.00,88,High,Other,5950.799205
Beverie Moffet,New Zealand,Baker's Choco Chips,8/3/2022,1372.00,144,High,Other,5950.799205
Beverie Moffet,Australia,Milk Bars,5/25/2022,735.00,390,Medium,Other,5950.799205
Van Tuxwell,UK,Raspberry Choco,3/16/2022,6538.00,79,High,Other,5950.799205
Jan Morforth,Australia,Orange Choco,7/4/2022,3199.00,122,High,Other,5960.030708
Jehu Rudeforth,India,50% Dark Bites,7/5/2022,3472.00,135,High,Other,5960.030708
Madelene Upcott,USA,After Nines,3/15/2022,4571.00,430,High,Other,5964.926152
Barr Faughny,UK,Raspberry Choco,8/22/2022,5481.00,69,High,Other,5964.926152
Ches Bonnell,Australia,70% Dark Bites,1/12/2022,3136.00,125,High,Other,5964.926152
Marney O'Breen,UK,Baker's Choco Chips,6/10/2022,252.00,154,Low,Other,5964.926152
Kaine Padly,Australia,Peanut Butter Cubes,3/25/2022,5460.00,286,High,Other,5969.950888
Rafaelita Blaksland,India,Almond Choco,7/27/2022,3395.00,99,High,Other,5969.950888
Husein Augar,UK,Caramel Stuffed Bars,4/15/2022,14938.00,433,High,Other,5970.858274
Roddy Speechley,India,Orange Choco,6/27/2022,4053.00,19,High,Other,5970.858274
Jehu Rudeforth,UK,70% Dark Bites,4/14/2022,5565.00,258,High,Other,5970.858274
Husein Augar,Australia,Manuka Honey Choco,3/15/2022,7161.00,92,High,Other,5970.858274
Madelene Upcott,USA,Eclairs,3/18/2022,8883.00,200,High,Other,5970.858274
Brien Boise,India,Eclairs,4/29/2022,1351.00,61,High,Other,5968.736809
Mallorie Waber,New Zealand,White Choc,2/25/2022,3171.00,246,High,Other,5968.736809
Husein Augar,USA,Milk Bars,3/2/2022,854.00,56,High,Other,5968.736809
Van Tuxwell,Australia,Milk Bars,6/20/2022,7910.00,87,High,Other,5968.736809
Beverie Moffet,Canada,White Choc,7/15/2022,9275.00,173,High,Other,5968.736809
Dotty Strutley,Australia,50% Dark Bites,5/12/2022,3108.00,252,High,Other,5965.270268
Mallorie Waber,New Zealand,Organic Choco Syrup,7/1/2022,5075.00,256,High,Other,5965.270268
Husein Augar,USA,85% Dark Bars,8/8/2022,378.00,54,Low,Other,5970.381664
Madelene Upcott,Australia,50% Dark Bites,7/25/2022,7350.00,6,High,Other,5970.381664
Wilone O'Kielt,UK,Drinking Coco,5/18/2022,3388.00,55,High,Other,5970.381664
Camilla Castle,India,Peanut Butter Cubes,7/15/2022,11837.00,277,High,Other,5967.909229
Curtice Advani,India,70% Dark Bites,7/5/2022,2282.00,44,High,Other,5967.909229
Mallorie Waber,USA,Manuka Honey Choco,7/4/2022,5425.00,96,High,Other,5967.909229
Dotty Strutley,UK,70% Dark Bites,6/20/2022,1267.00,216,High,Other,5967.909229
Gunar Cockshoot,Australia,Almond Choco,1/25/2022,3752.00,424,High,Other,5967.909229
Kaine Padly,New Zealand,Spicy Special Slims,7/1/2022,7728.00,37,High,Other,5967.909229
Gigi Bohling,USA,50% Dark Bites,4/13/2022,2296.00,59,High,Other,5971.887522
Beverie Moffet,UK,Smooth Sliky Salty,5/4/2022,4403.00,76,High,Other,5971.887522
Beverie Moffet,Australia,Baker's Choco Chips,8/4/2022,3192.00,109,High,Other,5971.887522
Beverie Moffet,India,70% Dark Bites,6/1/2022,448.00,146,Low,Other,5971.887522
Jehu Rudeforth,UK,Choco Coated Almonds,4/22/2022,4270.00,185,High,Other,5976.88732
Kaine Padly,USA,50% Dark Bites,8/3/2022,70.00,27,Low,Other,5976.88732
Ches Bonnell,USA,Orange Choco,6/10/2022,1743.00,69,High,Other,5976.88732
Gunar Cockshoot,UK,Manuka Honey Choco,6/27/2022,6762.00,46,High,Other,5976.88732
Marney O'Breen,Australia,Smooth Sliky Salty,1/3/2022,3745.00,170,High,Other,5976.88732
Marney O'Breen,India,After Nines,7/11/2022,2639.00,179,High,Other,5976.88732
Ches Bonnell,New Zealand,Milk Bars,8/17/2022,4389.00,126,High,Other,5980.908739
Rafaelita Blaksland,USA,Fruit & Nut Bars,1/18/2022,2604.00,65,High,Other,5980.908739
Ches Bonnell,India,Organic Choco Syrup,3/8/2022,16569.00,99,High,Other,5980.908739
Mallorie Waber,Australia,Orange Choco,3/7/2022,14658.00,275,High,Top Local,5980.908739
Husein Augar,India,70% Dark Bites,5/9/2022,6454.00,157,High,Other,5980.908739
Barr Faughny,New Zealand,85% Dark Bars,5/23/2022,2100.00,157,High,Other,5965.246119
Madelene Upcott,UK,Caramel Stuffed Bars,4/15/2022,161.00,145,Low,Other,5965.246119
Gigi Bohling,Australia,Drinking Coco,7/27/2022,2807.00,139,High,Other,5965.246119
Marney O'Breen,Canada,Choco Coated Almonds,8/22/2022,2639.00,406,High,Other,5965.246119
Ches Bonnell,USA,70% Dark Bites,5/11/2022,4571.00,122,High,Other,5970.957233
Madelene Upcott,India,Organic Choco Syrup,1/26/2022,4781.00,38,High,Other,5970.957233
Barr Faughny,USA,50% Dark Bites,4/14/2022,13034.00,117,High,Other,5970.957233
Dennison Crosswaite,New Zealand,Mint Chip Choco,4/5/2022,6454.00,417,High,Other,5970.957233
Marney O'Breen,New Zealand,Smooth Sliky Salty,6/14/2022,8484.00,57,High,Other,5970.957233
Brien Boise,Canada,Almond Choco,4/13/2022,4781.00,125,High,Other,5970.957233
Beverie Moffet,Australia,White Choc,6/27/2022,2240.00,166,High,Other,5970.957233
Dotty Strutley,Australia,Eclairs,1/26/2022,6979.00,3,High,Other,5970.957233
Barr Faughny,UK,White Choc,7/5/2022,1652.00,72,High,Other,5977.716214
Beverie Moffet,Canada,Baker's Choco Chips,1/11/2022,13447.00,95,High,Other,5975.899002
Kelci Walkden,USA,White Choc,3/7/2022,9422.00,22,High,Other,5975.899002
Kaine Padly,Canada,50% Dark Bites,3/4/2022,8687.00,100,High,Other,5975.899002
Karlen McCaffrey,Canada,Organic Choco Syrup,7/15/2022,2415.00,312,High,Other,5975.899002
Kaine Padly,UK,Peanut Butter Cubes,5/11/2022,6272.00,86,High,Other,5975.899002
Karlen McCaffrey,USA,Milk Bars,1/27/2022,4389.00,7,High,Other,5975.899002
Karlen McCaffrey,India,Orange Choco,6/27/2022,3122.00,149,High,Other,5975.899002
Ches Bonnell,India,Smooth Sliky Salty,8/3/2022,8043.00,18,High,Other,5975.899002
Wilone O'Kielt,New Zealand,Mint Chip Choco,8/19/2022,11662.00,242,High,Other,5975.899002
Wilone O'Kielt,Australia,Fruit & Nut Bars,6/15/2022,392.00,102,Low,Other,5975.899002
Dennison Crosswaite,UK,Peanut Butter Cubes,2/7/2022,8925.00,158,High,Other,5975.899002
Karlen McCaffrey,Australia,Almond Choco,7/8/2022,7294.00,128,High,Other,5986.051545
Dennison Crosswaite,India,Milk Bars,4/21/2022,1526.00,96,High,Other,5986.051545
Ches Bonnell,UK,Mint Chip Choco,4/8/2022,2688.00,209,High,Other,5983.669126
Husein Augar,Australia,50% Dark Bites,8/19/2022,14889.00,52,High,Other,5983.669126
Jan Morforth,India,Fruit & Nut Bars,5/4/2022,2912.00,55,High,Other,5983.669126
Mallorie Waber,USA,85% Dark Bars,5/11/2022,2632.00,108,High,Other,5967.418522
Mallorie Waber,USA,Eclairs,3/22/2022,6328.00,51,High,Other,5967.418522
Dennison Crosswaite,Canada,Spicy Special Slims,8/10/2022,2527.00,216,High,Other,5967.418522
Dennison Crosswaite,USA,Fruit & Nut Bars,5/4/2022,1414.00,318,High,Other,5967.418522
Kelci Walkden,USA,99% Dark & Pure,8/18/2022,7714.00,238,High,Other,5967.418522
Dotty Strutley,Canada,Raspberry Choco,8/3/2022,4347.00,238,High,Other,5967.418522
Marney O'Breen,New Zealand,Milk Bars,1/14/2022,7490.00,315,High,Other,5967.418522
Madelene Upcott,Australia,Choco Coated Almonds,4/8/2022,2058.00,72,High,Other,5967.418522
